District,School,Subject,Scored,County,Year,Baseline,Score
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,102,Columbia,2016,Basic,11.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,102,Columbia,2016,Basic,3.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,107,Columbia,2016,Basic,7.5
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,108,Columbia,2016,Basic,3.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,111,Columbia,2016,Basic,7.2
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,143,Columbia,2016,Basic,35.7
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,143,Columbia,2016,Basic,28.7
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,143,Columbia,2016,Basic,29.4
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2016,Basic,9.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,43,Columbia,2016,Basic,11.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,43,Columbia,2016,Basic,11.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,87,Columbia,2016,Basic,11.5
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,87,Columbia,2016,Basic,11.5
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,87,Columbia,2016,Basic,5.7
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,20,Columbia,2016,Basic,45
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,19,Columbia,2016,Basic,47.4
SUSQ-CYBER CS,SUSQ-CYBER CS,English,19,Columbia,2016,Basic,31.6
DANVILLE AREA SD,DANVILLE AREA SHS,Math,140,Montour,2016,Basic,10.7
DANVILLE AREA SD,DANVILLE AREA SHS,Science,144,Montour,2016,Basic,8.3
DANVILLE AREA SD,DANVILLE AREA SHS,English,145,Montour,2016,Basic,3.4
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,38,Columbia,2016,BelowBasic,7.9
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,38,Columbia,2016,BelowBasic,2.6
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,38,Columbia,2016,BelowBasic,5.3
BERWICK AREA SD,BERWICK AREA HS,Math,176,Columbia,2016,BelowBasic,3.4
BERWICK AREA SD,BERWICK AREA HS,Science,170,Columbia,2016,BelowBasic,13.5
BERWICK AREA SD,BERWICK AREA HS,English,173,Columbia,2016,BelowBasic,3.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,103,Columbia,2016,BelowBasic,1.9
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,102,Columbia,2016,BelowBasic,4.9
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,102,Columbia,2016,BelowBasic,2.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,107,Columbia,2016,BelowBasic,0
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,108,Columbia,2016,BelowBasic,2.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,111,Columbia,2016,BelowBasic,0.9
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,143,Columbia,2016,BelowBasic,6.3
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,143,Columbia,2016,BelowBasic,14.7
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,143,Columbia,2016,BelowBasic,3.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2016,BelowBasic,9.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,43,Columbia,2016,BelowBasic,7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,43,Columbia,2016,BelowBasic,4.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,87,Columbia,2016,BelowBasic,3.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,87,Columbia,2016,BelowBasic,5.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,87,Columbia,2016,BelowBasic,5.7
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,20,Columbia,2016,BelowBasic,15
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,19,Columbia,2016,BelowBasic,26.3
SUSQ-CYBER CS,SUSQ-CYBER CS,English,19,Columbia,2016,BelowBasic,5.3
DANVILLE AREA SD,DANVILLE AREA SHS,Math,140,Montour,2016,BelowBasic,0.7
DANVILLE AREA SD,DANVILLE AREA SHS,Science,144,Montour,2016,BelowBasic,1.4
DANVILLE AREA SD,DANVILLE AREA SHS,English,145,Montour,2016,BelowBasic,0.7
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,40,Columbia,2017,Advanced,40
