District,School,Subject,Scored,County,Year,Baseline,Score
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,36,Columbia,2018,Basic,16.7
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,35,Columbia,2018,Basic,5.7
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,35,Columbia,2018,Basic,11.4
BERWICK AREA SD,BERWICK AREA HS,Math,155,Columbia,2018,Basic,18.1
BERWICK AREA SD,BERWICK AREA HS,Science,155,Columbia,2018,Basic,14.8
BERWICK AREA SD,BERWICK AREA HS,English,154,Columbia,2018,Basic,15.6
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,75,Columbia,2018,Basic,25.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,76,Columbia,2018,Basic,35.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,77,Columbia,2018,Basic,14.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,128,Columbia,2018,Basic,12.5
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,128,Columbia,2018,Basic,8.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,129,Columbia,2018,Basic,7.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,137,Columbia,2018,Basic,35.8
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,138,Columbia,2018,Basic,37
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,138,Columbia,2018,Basic,42
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2018,Basic,23.8
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,42,Columbia,2018,Basic,23.8
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,41,Columbia,2018,Basic,24.4
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,106,Columbia,2018,Basic,13.2
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,107,Columbia,2018,Basic,15.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,107,Columbia,2018,Basic,9.3
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2018,Basic,36.4
DANVILLE AREA SD,DANVILLE AREA SHS,Math,147,Montour,2018,Basic,12.2
DANVILLE AREA SD,DANVILLE AREA SHS,Science,155,Montour,2018,Basic,7.7
DANVILLE AREA SD,DANVILLE AREA SHS,English,156,Montour,2018,Basic,5.8
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Math,36,Columbia,2018,BelowBasic,8.3
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Science,35,Columbia,2018,BelowBasic,8.6
BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,English,35,Columbia,2018,BelowBasic,5.7
BERWICK AREA SD,BERWICK AREA HS,Math,155,Columbia,2018,BelowBasic,5.2
BERWICK AREA SD,BERWICK AREA HS,Science,155,Columbia,2018,BelowBasic,14.2
BERWICK AREA SD,BERWICK AREA HS,English,154,Columbia,2018,BelowBasic,6.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,75,Columbia,2018,BelowBasic,4
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,76,Columbia,2018,BelowBasic,5.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,77,Columbia,2018,BelowBasic,5.2
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,128,Columbia,2018,BelowBasic,0
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,128,Columbia,2018,BelowBasic,3.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,129,Columbia,2018,BelowBasic,2.3
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Math,137,Columbia,2018,BelowBasic,10.2
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,Science,138,Columbia,2018,BelowBasic,14.5
COLUMBIA - MONTOUR AVTS,COLUMBIA - MONTOUR AVTS,English,138,Columbia,2018,BelowBasic,14.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,42,Columbia,2018,BelowBasic,9.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,42,Columbia,2018,BelowBasic,11.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,41,Columbia,2018,BelowBasic,7.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,106,Columbia,2018,BelowBasic,0.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,107,Columbia,2018,BelowBasic,2.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,107,Columbia,2018,BelowBasic,2.8
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2018,BelowBasic,45.5
DANVILLE AREA SD,DANVILLE AREA SHS,Math,147,Montour,2018,BelowBasic,2.7
DANVILLE AREA SD,DANVILLE AREA SHS,Science,155,Montour,2018,BelowBasic,3.9
DANVILLE AREA SD,DANVILLE AREA SHS,English,156,Montour,2018,BelowBasic,2.6
BENTON AREA SD,BENTON AREA HS,Math,54,Columbia,2019,Advanced,25.9
BENTON AREA SD,BENTON AREA HS,Science,54,Columbia,2019,Advanced,40.7
BENTON AREA SD,BENTON AREA HS,English,54,Columbia,2019,Advanced,9.3
BERWICK AREA SD,BERWICK AREA HS,Math,153,Columbia,2019,Advanced,17.6
BERWICK AREA SD,BERWICK AREA HS,Science,152,Columbia,2019,Advanced,22.4
BERWICK AREA SD,BERWICK AREA HS,English,152,Columbia,2019,Advanced,3.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,77,Columbia,2019,Advanced,36.4
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,84,Columbia,2019,Advanced,22.6
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,84,Columbia,2019,Advanced,10.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,120,Columbia,2019,Advanced,36.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,123,Columbia,2019,Advanced,37.4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,123,Columbia,2019,Advanced,23.6
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,147,Columbia,2019,Advanced,15.6
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,148,Columbia,2019,Advanced,14.2
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,147,Columbia,2019,Advanced,0.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,46,Columbia,2019,Advanced,21.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,46,Columbia,2019,Advanced,21.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,46,Columbia,2019,Advanced,10.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,103,Columbia,2019,Advanced,14.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,103,Columbia,2019,Advanced,24.3
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,103,Columbia,2019,Advanced,18.4
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2019,Advanced,9.1
DANVILLE AREA SD,DANVILLE AREA SHS,Math,152,Montour,2019,Advanced,45.4
DANVILLE AREA SD,DANVILLE AREA SHS,Science,157,Montour,2019,Advanced,43.3
DANVILLE AREA SD,DANVILLE AREA SHS,English,157,Montour,2019,Advanced,19.7
BENTON AREA SD,BENTON AREA HS,Math,54,Columbia,2019,Proficient,55.6
BENTON AREA SD,BENTON AREA HS,Science,54,Columbia,2019,Proficient,50
BENTON AREA SD,BENTON AREA HS,English,54,Columbia,2019,Proficient,75.9
BERWICK AREA SD,BERWICK AREA HS,Math,153,Columbia,2019,Proficient,49
BERWICK AREA SD,BERWICK AREA HS,Science,152,Columbia,2019,Proficient,43.4
BERWICK AREA SD,BERWICK AREA HS,English,152,Columbia,2019,Proficient,65.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,77,Columbia,2019,Proficient,46.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,84,Columbia,2019,Proficient,56
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,84,Columbia,2019,Proficient,67.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,120,Columbia,2019,Proficient,50
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,123,Columbia,2019,Proficient,51.2
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,123,Columbia,2019,Proficient,65
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,147,Columbia,2019,Proficient,38.1
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,148,Columbia,2019,Proficient,31.8
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,147,Columbia,2019,Proficient,48.3
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,46,Columbia,2019,Proficient,32.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,46,Columbia,2019,Proficient,32.6
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,46,Columbia,2019,Proficient,58.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,103,Columbia,2019,Proficient,76.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,103,Columbia,2019,Proficient,65
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,103,Columbia,2019,Proficient,70.9
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2019,Proficient,9.1
DANVILLE AREA SD,DANVILLE AREA SHS,Math,152,Montour,2019,Proficient,32.2
DANVILLE AREA SD,DANVILLE AREA SHS,Science,157,Montour,2019,Proficient,38.2
DANVILLE AREA SD,DANVILLE AREA SHS,English,157,Montour,2019,Proficient,66.2
BENTON AREA SD,BENTON AREA HS,Math,54,Columbia,2019,Basic,14.8
BENTON AREA SD,BENTON AREA HS,Science,54,Columbia,2019,Basic,3.7
BENTON AREA SD,BENTON AREA HS,English,54,Columbia,2019,Basic,9.3
BERWICK AREA SD,BERWICK AREA HS,Math,153,Columbia,2019,Basic,25.5
BERWICK AREA SD,BERWICK AREA HS,Science,152,Columbia,2019,Basic,21.1
BERWICK AREA SD,BERWICK AREA HS,English,152,Columbia,2019,Basic,27
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,77,Columbia,2019,Basic,15.6
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,84,Columbia,2019,Basic,19
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,84,Columbia,2019,Basic,17.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,120,Columbia,2019,Basic,10.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,123,Columbia,2019,Basic,7.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,123,Columbia,2019,Basic,8.9
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,147,Columbia,2019,Basic,33.3
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,148,Columbia,2019,Basic,29.7
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,147,Columbia,2019,Basic,41.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,46,Columbia,2019,Basic,23.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,46,Columbia,2019,Basic,21.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,46,Columbia,2019,Basic,10.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,103,Columbia,2019,Basic,6.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,103,Columbia,2019,Basic,6.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,103,Columbia,2019,Basic,8.7
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2019,Basic,54.5
DANVILLE AREA SD,DANVILLE AREA SHS,Math,152,Montour,2019,Basic,16.4
DANVILLE AREA SD,DANVILLE AREA SHS,Science,157,Montour,2019,Basic,8.3
DANVILLE AREA SD,DANVILLE AREA SHS,English,157,Montour,2019,Basic,7.6
BENTON AREA SD,BENTON AREA HS,Math,54,Columbia,2019,BelowBasic,3.7
BENTON AREA SD,BENTON AREA HS,Science,54,Columbia,2019,BelowBasic,5.6
BENTON AREA SD,BENTON AREA HS,English,54,Columbia,2019,BelowBasic,5.6
BERWICK AREA SD,BERWICK AREA HS,Math,153,Columbia,2019,BelowBasic,7.8
BERWICK AREA SD,BERWICK AREA HS,Science,152,Columbia,2019,BelowBasic,13.2
BERWICK AREA SD,BERWICK AREA HS,English,152,Columbia,2019,BelowBasic,3.9
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,77,Columbia,2019,BelowBasic,1.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,84,Columbia,2019,BelowBasic,2.4
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,84,Columbia,2019,BelowBasic,3.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,120,Columbia,2019,BelowBasic,2.5
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,123,Columbia,2019,BelowBasic,4.1
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,123,Columbia,2019,BelowBasic,2.4
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,147,Columbia,2019,BelowBasic,12.9
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,148,Columbia,2019,BelowBasic,24.3
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,147,Columbia,2019,BelowBasic,9.5
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,46,Columbia,2019,BelowBasic,21.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,46,Columbia,2019,BelowBasic,23.9
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,46,Columbia,2019,BelowBasic,19.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,103,Columbia,2019,BelowBasic,1.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,103,Columbia,2019,BelowBasic,3.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,103,Columbia,2019,BelowBasic,1.9
SUSQ-CYBER CS,SUSQ-CYBER CS,Science,11,Columbia,2019,BelowBasic,27.3
DANVILLE AREA SD,DANVILLE AREA SHS,Math,152,Montour,2019,BelowBasic,5.9
DANVILLE AREA SD,DANVILLE AREA SHS,Science,157,Montour,2019,BelowBasic,10.2
DANVILLE AREA SD,DANVILLE AREA SHS,English,157,Montour,2019,BelowBasic,6.4
BENTON AREA SD,BENTON AREA HS,Math,43,Columbia,2021,Advanced,23.3
BENTON AREA SD,BENTON AREA HS,Science,13,Columbia,2021,Advanced,46.2
BERWICK AREA SD,BERWICK AREA HS,Math,133,Columbia,2021,Advanced,11.3
BERWICK AREA SD,BERWICK AREA HS,Science,37,Columbia,2021,Advanced,51.4
BERWICK AREA SD,BERWICK AREA HS,English,24,Columbia,2021,Advanced,37.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,86,Columbia,2021,Advanced,30.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,48,Columbia,2021,Advanced,35.4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,132,Columbia,2021,Advanced,49.2
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,61,Columbia,2021,Advanced,62.3
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,42,Columbia,2021,Advanced,26.2
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,37,Columbia,2021,Advanced,18.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,100,Columbia,2021,Advanced,34
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,99,Columbia,2021,Advanced,4
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,16,Columbia,2021,Advanced,12.5
DANVILLE AREA SD,DANVILLE AREA SHS,Math,128,Montour,2021,Advanced,46.1
DANVILLE AREA SD,DANVILLE AREA SHS,Science,59,Montour,2021,Advanced,78
BENTON AREA SD,BENTON AREA HS,Math,43,Columbia,2021,Proficient,30.2
BENTON AREA SD,BENTON AREA HS,Science,13,Columbia,2021,Proficient,53.8
BERWICK AREA SD,BERWICK AREA HS,Math,133,Columbia,2021,Proficient,48.1
BERWICK AREA SD,BERWICK AREA HS,Science,37,Columbia,2021,Proficient,24.3
BERWICK AREA SD,BERWICK AREA HS,English,24,Columbia,2021,Proficient,33.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,86,Columbia,2021,Proficient,23.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,48,Columbia,2021,Proficient,41.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,132,Columbia,2021,Proficient,34.1
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,61,Columbia,2021,Proficient,26.2
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,42,Columbia,2021,Proficient,35.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,37,Columbia,2021,Proficient,29.7
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,100,Columbia,2021,Proficient,48
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,99,Columbia,2021,Proficient,54.5
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,16,Columbia,2021,Proficient,43.8
DANVILLE AREA SD,DANVILLE AREA SHS,Math,128,Montour,2021,Proficient,43
DANVILLE AREA SD,DANVILLE AREA SHS,Science,59,Montour,2021,Proficient,20.3
BENTON AREA SD,BENTON AREA HS,Math,43,Columbia,2021,Basic,27.9
BENTON AREA SD,BENTON AREA HS,Science,13,Columbia,2021,Basic,0
BERWICK AREA SD,BERWICK AREA HS,Math,133,Columbia,2021,Basic,27.1
BERWICK AREA SD,BERWICK AREA HS,Science,37,Columbia,2021,Basic,13.5
BERWICK AREA SD,BERWICK AREA HS,English,24,Columbia,2021,Basic,8.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,86,Columbia,2021,Basic,39.5
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,48,Columbia,2021,Basic,16.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,132,Columbia,2021,Basic,14.4
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,61,Columbia,2021,Basic,9.8
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,42,Columbia,2021,Basic,35.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,37,Columbia,2021,Basic,37.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,100,Columbia,2021,Basic,13
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,99,Columbia,2021,Basic,27.3
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,16,Columbia,2021,Basic,31.3
DANVILLE AREA SD,DANVILLE AREA SHS,Math,128,Montour,2021,Basic,10.2
DANVILLE AREA SD,DANVILLE AREA SHS,Science,59,Montour,2021,Basic,1.7
BENTON AREA SD,BENTON AREA HS,Math,43,Columbia,2021,BelowBasic,18.6
BENTON AREA SD,BENTON AREA HS,Science,13,Columbia,2021,BelowBasic,0
BERWICK AREA SD,BERWICK AREA HS,Math,133,Columbia,2021,BelowBasic,13.5
BERWICK AREA SD,BERWICK AREA HS,Science,37,Columbia,2021,BelowBasic,10.8
BERWICK AREA SD,BERWICK AREA HS,English,24,Columbia,2021,BelowBasic,20.8
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,86,Columbia,2021,BelowBasic,7
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,48,Columbia,2021,BelowBasic,6.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,132,Columbia,2021,BelowBasic,2.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,61,Columbia,2021,BelowBasic,1.6
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,42,Columbia,2021,BelowBasic,2.4
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,37,Columbia,2021,BelowBasic,13.5
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,100,Columbia,2021,BelowBasic,5
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,99,Columbia,2021,BelowBasic,14.1
SUSQ-CYBER CS,SUSQ-CYBER CS,Math,16,Columbia,2021,BelowBasic,12.5
DANVILLE AREA SD,DANVILLE AREA SHS,Math,128,Montour,2021,BelowBasic,0.8
DANVILLE AREA SD,DANVILLE AREA SHS,Science,59,Montour,2021,BelowBasic,0
BENTON AREA SD,BENTON AREA HS,Math,16,Columbia,2022,Advanced,68.8
BENTON AREA SD,BENTON AREA HS,Science,24,Columbia,2022,Advanced,8.3
BENTON AREA SD,BENTON AREA HS,English,38,Columbia,2022,Advanced,5.3
BERWICK AREA SD,BERWICK AREA HS,Math,70,Columbia,2022,Advanced,34.3
BERWICK AREA SD,BERWICK AREA HS,Science,121,Columbia,2022,Advanced,1.7
BERWICK AREA SD,BERWICK AREA HS,English,135,Columbia,2022,Advanced,0.7
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,45,Columbia,2022,Advanced,68.9
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,37,Columbia,2022,Advanced,16.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,88,Columbia,2022,Advanced,13.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,92,Columbia,2022,Advanced,54.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,92,Columbia,2022,Advanced,19.6
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,134,Columbia,2022,Advanced,17.2
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,114,Columbia,2022,Advanced,7.9
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,141,Columbia,2022,Advanced,2.1
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,144,Columbia,2022,Advanced,0
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,11,Columbia,2022,Advanced,9.1
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,30,Columbia,2022,Advanced,10
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,32,Columbia,2022,Advanced,3.1
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,43,Columbia,2022,Advanced,62.8
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,77,Columbia,2022,Advanced,16.9
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,79,Columbia,2022,Advanced,12.7
SUSQ-CYBER CS,SUSQ-CYBER CS,English,11,Columbia,2022,Advanced,0
DANVILLE AREA SD,DANVILLE AREA SHS,Math,108,Montour,2022,Advanced,46.3
DANVILLE AREA SD,DANVILLE AREA SHS,Science,82,Montour,2022,Advanced,23.2
DANVILLE AREA SD,DANVILLE AREA SHS,English,135,Montour,2022,Advanced,18.5
BENTON AREA SD,BENTON AREA HS,Math,16,Columbia,2022,Proficient,18.8
BENTON AREA SD,BENTON AREA HS,Science,24,Columbia,2022,Proficient,37.5
BENTON AREA SD,BENTON AREA HS,English,38,Columbia,2022,Proficient,47.4
BERWICK AREA SD,BERWICK AREA HS,Math,70,Columbia,2022,Proficient,42.9
BERWICK AREA SD,BERWICK AREA HS,Science,121,Columbia,2022,Proficient,21.5
BERWICK AREA SD,BERWICK AREA HS,English,135,Columbia,2022,Proficient,50.4
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,45,Columbia,2022,Proficient,13.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,37,Columbia,2022,Proficient,24.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,88,Columbia,2022,Proficient,64.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,92,Columbia,2022,Proficient,35.9
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,92,Columbia,2022,Proficient,22.8
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,134,Columbia,2022,Proficient,51.5
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Math,114,Columbia,2022,Proficient,14.9
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,Science,141,Columbia,2022,Proficient,25.5
COLUMBIA-MONTOUR AVTS,COLUMBIA-MONTOUR AVTS,English,144,Columbia,2022,Proficient,34
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Math,11,Columbia,2022,Proficient,72.7
MILLVILLE AREA SD,MILLVILLE AREA JSHS,Science,30,Columbia,2022,Proficient,40
MILLVILLE AREA SD,MILLVILLE AREA JSHS,English,32,Columbia,2022,Proficient,65.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Math,43,Columbia,2022,Proficient,32.6
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,Science,77,Columbia,2022,Proficient,39
SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA HS,English,79,Columbia,2022,Proficient,68.4
SUSQ-CYBER CS,SUSQ-CYBER CS,English,11,Columbia,2022,Proficient,54.5
DANVILLE AREA SD,DANVILLE AREA SHS,Math,108,Montour,2022,Proficient,38.9
DANVILLE AREA SD,DANVILLE AREA SHS,Science,82,Montour,2022,Proficient,46.3
DANVILLE AREA SD,DANVILLE AREA SHS,English,135,Montour,2022,Proficient,68.9
BENTON AREA SD,BENTON AREA HS,Math,16,Columbia,2022,Basic,6.3
BENTON AREA SD,BENTON AREA HS,Science,24,Columbia,2022,Basic,33.3
BENTON AREA SD,BENTON AREA HS,English,38,Columbia,2022,Basic,31.6
BERWICK AREA SD,BERWICK AREA HS,Math,70,Columbia,2022,Basic,14.3
BERWICK AREA SD,BERWICK AREA HS,Science,121,Columbia,2022,Basic,47.1
BERWICK AREA SD,BERWICK AREA HS,English,135,Columbia,2022,Basic,31.1
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Math,45,Columbia,2022,Basic,13.3
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,Science,37,Columbia,2022,Basic,43.2
BLOOMSBURG AREA SD,BLOOMSBURG AREA HS,English,88,Columbia,2022,Basic,19.3
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Math,92,Columbia,2022,Basic,8.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,Science,92,Columbia,2022,Basic,46.7
CENTRAL COLUMBIA SD,CENTRAL COLUMBIA SHS,English,134,Columbia,2022,Basic,27.6
