Subject,Scored,Year,Top,Baseline,Score,WScore,District,School,County,SchoolNum
Math,110,2016,65.4,Advanced,33.6,3696,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
Science,35,2016,94.2,Advanced,57.1,1999,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
English,274,2016,76.30000000000001,Advanced,33.6,9207,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Math,274,2016,65.7,Advanced,34.7,9508,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Science,141,2016,95.7,Advanced,69.5,9800,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
English,565,2016,69.5,Advanced,21.4,12091,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Math,564,2016,62.800000000000004,Advanced,29.1,16413,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Science,145,2016,75.19999999999999,Advanced,48.3,7004,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
English,178,2016,58.4,Advanced,17.4,3098,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Math,179,2016,32.9,Advanced,11.7,2095,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Science,46,2016,84.8,Advanced,50,2300,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
English,119,2016,48.699999999999996,Advanced,8.4,1000,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Math,117,2016,31.6,Advanced,11.1,1299,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Science,60,2016,45,Advanced,23.3,1398,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
English,205,2016,65.9,Advanced,16.6,3404,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Math,206,2016,65,Advanced,28.6,5892,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Science,94,2016,91.5,Advanced,43.6,4099,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
English,441,2016,70.7,Advanced,19.7,8688,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Math,443,2016,41.9,Advanced,12.6,5582,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Science,118,2016,74.5,Advanced,34.7,4095,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
English,564,2016,70.6,Advanced,25.7,14495,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Math,568,2016,43,Advanced,16.4,9316,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Science,185,2016,66.5,Advanced,37.3,6901,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
English,503,2016,72,Advanced,24.1,12123,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
Math,506,2016,61,Advanced,29.4,14877,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
Science,171,2016,83.1,Advanced,39.2,6704,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,2,000004833
English,206,2016,75.3,Proficient,54.9,11310,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Math,206,2016,50.5,Proficient,22.3,4594,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
Science,56,2016,100,Proficient,30.4,1703,BENTON AREA SD,APPLEMAN EL SCH,1,000001594
English,111,2016,65.7,Proficient,49.5,5495,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Math,111,2016,23.400000000000002,Proficient,17.1,1899,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
Science,61,2016,77,Proficient,42.6,2599,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,1,000001595
English,664,2016,55.6,Proficient,40.2,26693,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Math,663,2016,34.8,Proficient,26.8,17769,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Science,203,2016,58.1,Proficient,33.5,6801,BERWICK AREA SD,BERWICK AREA MS,1,000006808
English,90,2016,67.7,Proficient,44.4,3996,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Math,90,2016,64.4,Proficient,30,2700,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
Science,36,2016,88.9,Proficient,47.2,1700,BERWICK AREA SD,FOURTEENTH STREET EL,1,000001602
English,113,2016,68.10000000000001,Proficient,52.2,5899,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Math,113,2016,70.80000000000001,Proficient,32.7,3696,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Science,40,2016,85,Proficient,37.5,1500,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
English,206,2016,58.2,Proficient,46.1,9497,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Math,205,2016,52.7,Proficient,32.7,6704,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
Science,63,2016,85.7,Proficient,47.6,2999,BERWICK AREA SD,ORANGE STREET EL SCH,1,000001604
English,220,2016,62.7,Proficient,45.9,10098,BERWICK AREA SD,SALEM EL SCH,1,000001597
Math,220,2016,70,Proficient,31.4,6908,BERWICK AREA SD,SALEM EL SCH,1,000001597
Science,74,2016,85.1,Proficient,39.2,2901,BERWICK AREA SD,SALEM EL SCH,1,000001597
English,57,2016,78.9,Proficient,42.1,2400,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Math,57,2016,73.7,Proficient,29.8,1699,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Science,16,2016,93.8,Proficient,37.5,600,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
English,384,2016,65.2,Proficient,45.1,17319,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Math,384,2016,41.7,Proficient,31.5,12096,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Science,112,2016,72.4,Proficient,41.1,4604,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
English,194,2016,72.2,Proficient,56.2,10903,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Math,193,2016,53.900000000000006,Proficient,30.6,5906,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Science,67,2016,80.6,Proficient,44.8,3002,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
English,110,2016,67.3,Proficient,51.8,5698,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
Math,110,2016,65.4,Proficient,31.8,3498,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
Science,35,2016,94.2,Proficient,37.1,1299,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,1,000001608
English,274,2016,76.30000000000001,Proficient,42.7,11700,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Math,274,2016,65.7,Proficient,31,8494,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
Science,141,2016,95.7,Proficient,26.2,3695,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,1,000007201
English,565,2016,69.5,Proficient,48.1,27177,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Math,564,2016,62.800000000000004,Proficient,33.7,19007,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Science,145,2016,75.19999999999999,Proficient,26.9,3901,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
English,178,2016,58.4,Proficient,41,7298,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Math,179,2016,32.9,Proficient,21.2,3795,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
Science,46,2016,84.8,Proficient,34.8,1601,MILLVILLE AREA SD,MILLVILLE AREA EL SC,1,000007064
English,119,2016,48.699999999999996,Proficient,40.3,4796,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Math,117,2016,31.6,Proficient,20.5,2399,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Science,60,2016,45,Proficient,21.7,1302,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
English,205,2016,65.9,Proficient,49.3,10107,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Math,206,2016,65,Proficient,36.4,7499,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Science,94,2016,91.5,Proficient,47.9,4503,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
English,441,2016,70.7,Proficient,51,22491,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Math,443,2016,41.9,Proficient,29.3,12980,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
