Subject,Scored,Year,Top,Baseline,Score,WScore,District,School,County,SchoolNum
Math,133,2022,54.099999999999994,BelowBasic,14.3,1902,BERWICK AREA SD,SALEM EL SCH,1,000001597
Science,59,2022,89.8,BelowBasic,3.4,201,BERWICK AREA SD,SALEM EL SCH,1,000001597
English,68,2022,63.3,BelowBasic,10.3,701,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Math,68,2022,44.099999999999994,BelowBasic,26.5,1802,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
Science,29,2022,72.4,BelowBasic,10.3,299,BERWICK AREA SD,NESCOPECK EL SCH,1,000006349
English,722,2022,57.6,BelowBasic,9.8,7076,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Math,722,2022,27.3,BelowBasic,36.6,26426,BERWICK AREA SD,BERWICK AREA MS,1,000006808
Science,177,2022,46.3,BelowBasic,30.5,5399,BERWICK AREA SD,BERWICK AREA MS,1,000006808
English,184,2022,47.8,BelowBasic,22.3,4104,BERWICK AREA SD,WEST BERWICK EL SCH,1,000008378
Math,185,2022,38.4,BelowBasic,30.8,5698,BERWICK AREA SD,WEST BERWICK EL SCH,1,000008378
Science,92,2022,78.3,BelowBasic,6.5,598,BERWICK AREA SD,WEST BERWICK EL SCH,1,000008378
English,172,2022,62.2,BelowBasic,9.3,1600,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Math,172,2022,52.900000000000006,BelowBasic,18,3096,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
Science,56,2022,83.9,BelowBasic,3.6,202,BLOOMSBURG AREA SD,MEMORIAL EL SCH,1,000001606
English,95,2022,67.4,BelowBasic,6.3,599,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,1,000001608
Math,95,2022,68.4,BelowBasic,9.5,903,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,1,000001608
Science,25,2022,68,BelowBasic,0,0,BLOOMSBURG AREA SD,W W EVANS MEMORIAL EL SCH,1,000001608
English,52,2022,76.9,BelowBasic,1.9,99,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Math,53,2022,58.5,BelowBasic,9.4,499,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
Science,21,2022,100,BelowBasic,0,0,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,1,000001610
English,306,2022,56.2,BelowBasic,9.2,2816,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Math,306,2022,28.8,BelowBasic,41.8,12791,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
Science,111,2022,49.5,BelowBasic,25.2,2798,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,1,000001611
English,577,2022,69.8,BelowBasic,3.5,2020,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Math,583,2022,51.5,BelowBasic,22.3,13001,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
Science,148,2022,69,BelowBasic,15.5,2294,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,1,000005390
English,251,2022,65.3,BelowBasic,5.6,1406,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,1,000007201
Math,251,2022,64.9,BelowBasic,12.7,3188,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,1,000007201
Science,119,2022,95,BelowBasic,0,0,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL SCH,1,000007201
English,90,2022,61.099999999999994,BelowBasic,3.3,297,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Math,88,2022,23.9,BelowBasic,50,4400,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
Science,38,2022,57.9,BelowBasic,21.1,802,MILLVILLE AREA SD,MILLVILLE AREA JSHS,1,000001623
English,164,2022,65.9,BelowBasic,5.5,902,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,1,000007064
Math,164,2022,40.3,BelowBasic,23.8,3904,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,1,000007064
Science,34,2022,82.30000000000001,BelowBasic,5.9,201,MILLVILLE AREA SD,MILLVILLE AREA EL SCH,1,000007064
English,161,2022,72,BelowBasic,9.9,1594,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Math,162,2022,70.30000000000001,BelowBasic,13.6,2204,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
Science,79,2022,87.3,BelowBasic,3.8,301,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,1,000006900
English,387,2022,68.69999999999999,BelowBasic,5.4,2090,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Math,387,2022,39.6,BelowBasic,22.2,8592,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
Science,106,2022,66,BelowBasic,18.9,2004,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,1,000007668
English,455,2022,72.8,BelowBasic,4.6,2093,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Math,456,2022,44.3,BelowBasic,25,11400,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
Science,157,2022,75.19999999999999,BelowBasic,8.9,1398,DANVILLE AREA SD,DANVILLE AREA MS,2,000003424
English,488,2022,65.8,BelowBasic,11.5,5612,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,2,000004833
Math,489,2022,55.2,BelowBasic,16.8,8216,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,2,000004833
Science,161,2022,84.5,BelowBasic,3.7,596,DANVILLE AREA SD,LIBERTY-VALLEY EL SCH,2,000004833
