Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
Science,4,16,2016,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,93.8,16
English,6,133,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,53.400000000000006,72
English,7,139,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,73.4,103
English,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,68.69999999999999,77
Math,6,133,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,41.3,55
Math,7,139,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,46.800000000000004,66
Math,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,35.8,41
Science,8,112,2016,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,72.4,82
English,3,63,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,71.5,46
English,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,64.19999999999999,44
English,5,64,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,81.3,53
Math,3,62,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,66.1,41
Math,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,46.3,32
Math,5,64,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,50,32
Science,4,67,2016,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,80.6,55
English,3,39,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,53.900000000000006,22
English,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,80,28
English,5,36,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,69.4,25
Math,3,39,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,58.9,23
Math,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,71.4,25
Math,5,36,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,66.7,25
Science,4,35,2016,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,94.2,33
English,3,133,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,73.7,99
English,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,78.8,112
Math,3,133,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,66.2,89
Math,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,65.30000000000001,93
Science,4,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,95.7,135
English,5,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,60.300000000000004,86
English,6,120,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,75.9,92
English,7,158,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,71.6,114
English,8,146,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,71.3,105
Math,5,141,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,53.2,76
Math,6,120,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,61.7,75
Math,7,158,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,67.7,107
Math,8,145,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,67.6,99
Science,8,145,2016,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,75.19999999999999,110
English,3,35,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,74.2,26
English,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,69.6,33
English,5,39,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,51.300000000000004,21
English,6,58,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,44.9,27
Math,3,36,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,52.8,20
Math,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,43.4,20
Math,5,39,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,23.1,10
Math,6,58,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,19,12
Science,4,46,2016,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,84.8,40
English,7,57,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,56.2,33
English,8,62,2016,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,41.9,26
