Subject,Grade,Scored,Year,District,School,County,Category,Score,Students
English,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,73.7,29
Math,3,36,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,75,27
Math,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,68.4,26
Science,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Top,94.8,37
English,3,67,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,82.1,56
English,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,63.5,47
Math,3,67,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,74.69999999999999,51
Math,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,60.8,45
Science,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Top,77,57
English,3,109,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,76.1,83
English,4,111,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,61.199999999999996,68
Math,3,109,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,75.3,83
Math,4,110,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,58.2,65
Science,4,110,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Top,84.6,94
English,3,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,100,13
English,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,86.4,20
English,5,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,69.30000000000001,10
Math,3,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,100,13
Math,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,77.2,17
Math,5,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,69.30000000000001,10
Science,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Top,100,22
English,6,122,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,67.2,82
English,7,126,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,58,74
English,8,147,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,64.6,95
Math,6,122,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,45.1,56
Math,7,127,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,32.3,42
Math,8,146,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,32.2,48
Science,8,146,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Top,63.699999999999996,94
English,3,68,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,63.2,43
English,4,55,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,72.7,40
English,5,69,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,60.9,43
Math,3,67,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,64.1,43
Math,4,54,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,53.7,29
Math,5,69,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,50.699999999999996,35
Science,4,54,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Top,85.19999999999999,47
English,3,29,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,65.5,19
English,4,37,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,54,20
English,5,37,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,73,28
Math,3,29,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,69,21
Math,4,38,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,57.900000000000006,23
Math,5,36,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,66.7,25
Science,4,38,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Top,81.5,31
English,3,131,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,77.8,102
English,4,137,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,81.1,112
Math,3,131,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,72.5,95
Math,4,138,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,74.6,103
Science,4,138,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Top,97.1,134
English,5,140,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,70,98
English,6,145,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,84.8,123
English,7,125,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,80.8,101
English,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,78.4,124
Math,5,141,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,55.4,79
Math,6,145,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,57.2,83
Math,7,125,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,64.80000000000001,82
Math,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,72.6,114
Science,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Top,78.3,123
English,3,39,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,71.8,29
English,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,65.80000000000001,26
English,5,51,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,56.900000000000006,30
English,6,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,60,24
Math,3,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,50,20
Math,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,34.2,13
Math,5,51,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,35.3,19
Math,6,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,20,8
Science,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Top,84.2,32
English,7,54,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,35.2,20
English,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,61,36
Math,7,60,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,10,6
Math,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,18.599999999999998,11
Science,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Top,54.3,33
English,3,103,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,76.7,80
English,4,108,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,64.8,70
Math,3,103,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,68.9,71
Math,4,109,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,56,62
Science,4,109,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Top,81.7,90
English,5,101,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,65.4,67
English,6,100,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,72,72
English,7,128,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,55.5,72
English,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,54.3,56
Math,5,101,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,55.400000000000006,56
Math,6,99,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,44.4,44
Math,7,128,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,52.300000000000004,67
Math,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,35.9,37
Science,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Top,60.2,63
English,6,173,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,74,129
English,7,186,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,70.4,131
English,8,196,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,66.9,132
Math,6,173,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,48,84
Math,7,186,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,45.2,85
Math,8,197,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,36.6,73
Science,8,197,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Top,56.9,113
English,3,165,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,72.7,120
English,4,162,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,71.6,116
English,5,172,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,71,123
Math,3,165,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,61.2,101
Math,4,163,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,52.099999999999994,85
Math,5,172,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,69.2,120
Science,4,162,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Top,84,137
Math,7,125744,2017,,,State,Advanced,19.3,24269
Math,8,123653,2017,,,State,Advanced,15.9,19661
Math,3,72264,2017,,,State,Advanced,7.7,5565
Math,4,71245,2017,,,State,Advanced,12.6,8977
Math,5,69039,2017,,,State,Advanced,6.6,4557
English,4,125575,2017,,,State,Advanced,18.1,22730
English,5,124405,2017,,,State,Advanced,16.2,20154
English,6,123112,2017,,,State,Advanced,14.1,17359
English,7,125584,2017,,,State,Advanced,15.7,19717
English,8,123271,2017,,,State,Advanced,10.6,13067
Science,4,71414,2017,,,State,Advanced,18.5,13212
English,3,54,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,7.4,4
English,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,47.8,22
English,5,57,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,21.1,13
English,6,44,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,25,11
English,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,NA,NA
Math,3,55,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,23.6,13
Math,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,30.4,14
Math,5,57,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,21.1,13
Math,6,44,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,9.1,5
Math,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,NA,NA
Science,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,50,23
Science,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Advanced,NA,NA
English,7,60,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,18.3,11
English,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,10.9,6
Math,7,60,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,3.3,2
Math,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,4.3,2
Science,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Advanced,21.7,10
English,5,226,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,14.2,33
English,6,218,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,27.1,60
English,7,220,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,12.3,28
English,8,246,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,14.2,35
Math,5,226,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,15,34
Math,6,217,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,14.3,32
Math,7,221,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,6.8,16
Math,8,246,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,5.7,15
Science,8,244,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Advanced,23,57
English,3,36,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,44.4,16
English,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,23.7,10
Math,3,36,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,44.4,16
Math,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,34.2,13
Science,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Advanced,47.4,19
English,3,67,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,16.4,11
English,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,16.2,12
Math,3,67,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,44.8,31
Math,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,23,18
Science,4,74,2017,BERWICK AREA SD,SALEM EL SCH,Columbia,Advanced,28.4,22
English,3,109,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Advanced,21.1,23
English,4,111,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Advanced,23.4,26
Math,3,109,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Advanced,29.4,33
Math,4,110,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Advanced,25.5,29
Science,4,110,2017,BERWICK AREA SD,WEST BERWICK EL SCH,Columbia,Advanced,28.2,32
English,3,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,23.1,4
English,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,68.2,16
English,5,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,23.1,4
Math,3,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,38.5,6
Math,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,54.5,12
Math,5,13,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,46.2,7
Science,4,22,2017,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Columbia,Advanced,77.3,18
English,6,122,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,15.6,20
English,7,126,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,17.5,23
English,8,147,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,17,25
Math,6,122,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,11.5,15
Math,7,127,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,13.4,18
Math,8,146,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,2.7,4
Science,8,146,2017,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Columbia,Advanced,27.4,41
English,3,68,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,14.7,10
English,4,55,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,20,11
English,5,69,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,11.6,9
Math,3,67,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,32.8,22
Math,4,54,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,14.8,8
Math,5,69,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,17.4,13
Science,4,54,2017,BLOOMSBURG AREA SD,MEMORIAL EL SCH,Columbia,Advanced,33.3,18
English,3,29,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,13.8,5
English,4,37,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,29.7,11
English,5,37,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,18.9,7
Math,3,29,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,34.5,11
Math,4,38,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,26.3,10
Math,5,36,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,36.1,13
Science,4,38,2017,BLOOMSBURG AREA SD,W W EVANS MEMORIAL E,Columbia,Advanced,28.9,11
English,3,131,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,18.3,24
English,4,137,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,45.3,63
Math,3,131,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,35.9,48
Math,4,138,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,36.2,50
Science,4,138,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA EL,Columbia,Advanced,59.4,82
English,5,140,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,18.6,27
English,6,145,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,32.4,47
English,7,125,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,30.4,38
English,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,28.7,46
Math,5,141,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,19.9,29
Math,6,145,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,24.8,36
Math,7,125,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,35.2,45
Math,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,37.6,60
Science,8,157,2017,CENTRAL COLUMBIA SD,CENTRAL COLUMBIA MS,Columbia,Advanced,35,55
English,3,39,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,15.4,7
English,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,21.1,9
English,5,51,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,11.8,7
English,6,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,10,4
Math,3,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,15,6
Math,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,15.8,7
Math,5,51,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,5.9,4
Math,6,40,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,0,0
Science,4,38,2017,MILLVILLE AREA SD,MILLVILLE AREA EL SC,Columbia,Advanced,31.6,13
English,7,54,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,9.3,6
English,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,10.2,7
Math,7,60,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,8.3,5
Math,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,1.7,2
Science,8,59,2017,MILLVILLE AREA SD,MILLVILLE AREA JSHS,Columbia,Advanced,15.3,10
English,3,103,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,17.5,19
English,4,108,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,20.4,23
Math,3,103,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,32,33
Math,4,109,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,15.6,18
Science,4,109,2017,SOUTHERN COLUMBIA AREA SD,HARTMAN EL CTR,Columbia,Advanced,36.7,41
English,5,101,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,21.8,23
English,6,100,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,24,24
English,7,128,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,18,24
English,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,5.8,6
Math,5,101,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,17.8,18
Math,6,99,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,12.1,12
Math,7,128,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,15.6,20
Math,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,5.8,6
Science,8,103,2017,SOUTHERN COLUMBIA AREA SD,SOUTHERN COLUMBIA MS,Columbia,Advanced,17.5,19
English,6,173,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,33.5,58
English,7,186,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,27.4,51
English,8,196,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,24,48
Math,6,173,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,13.3,24
Math,7,186,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,21,40
Math,8,197,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,16.8,34
Science,8,197,2017,DANVILLE AREA SD,DANVILLE AREA MS,Montour,Advanced,24.9,50
English,3,165,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,20,33
English,4,162,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,40.7,66
English,5,172,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,22.7,40
Math,3,165,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,30.9,51
Math,4,163,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,22.7,38
Math,5,172,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,35.5,62
Science,4,162,2017,DANVILLE AREA SD,LIBERTY-VALLEY EL SC,Montour,Advanced,38.3,63
Math,7,125744,2017,,,State,Proficient,40.1,50424
Math,8,123653,2017,,,State,Proficient,42.9,53048
Math,3,72264,2017,,,State,Proficient,40.9,29556
Math,4,71245,2017,,,State,Proficient,31,22086
Math,5,69039,2017,,,State,Proficient,34.6,23888
English,4,125575,2017,,,State,Proficient,28.5,35789
English,5,124405,2017,,,State,Proficient,27.5,34212
English,6,123112,2017,,,State,Proficient,26.1,32133
English,7,125584,2017,,,State,Proficient,22.1,27755
English,8,123271,2017,,,State,Proficient,21.9,26997
Science,4,71414,2017,,,State,Proficient,42.4,30280
English,3,54,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,50,27
English,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,23.9,11
English,5,57,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,61.4,35
English,6,44,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,56.8,25
English,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,NA,NA
Math,3,55,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,45.5,26
Math,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,32.6,15
Math,5,57,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,40.4,24
Math,6,44,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,38.6,17
Math,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,NA,NA
Science,4,46,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,37,18
Science,8,1,2017,BENTON AREA SD,APPLEMAN EL SCH,Columbia,Proficient,NA,NA
English,7,60,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Proficient,43.3,26
English,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Proficient,37,18
Math,7,60,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Proficient,11.7,8
Math,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Proficient,8.7,5
Science,8,46,2017,BENTON AREA SD,BENTON MIDDLE-SR HIGH SCHOOL,Columbia,Proficient,47.8,22
English,5,226,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,47.3,107
English,6,218,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,45.9,101
English,7,220,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,34.1,76
English,8,246,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,45.9,113
Math,5,226,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,38.1,87
Math,6,217,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,30.4,66
Math,7,221,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,20.4,46
Math,8,246,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,27.2,67
Science,8,244,2017,BERWICK AREA SD,BERWICK AREA MS,Columbia,Proficient,32.8,81
English,3,36,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Proficient,41.7,16
English,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Proficient,50,19
Math,3,36,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Proficient,30.6,12
Math,4,38,2017,BERWICK AREA SD,NESCOPECK EL SCH,Columbia,Proficient,34.2,13
