SchoolNum,District,School,Subject,Grade,Scored,County,Year,Baseline,Score
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,5,68,Columbia,2016,Advanced,5.9
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,English,School Total,206,Columbia,2016,Advanced,12.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,3,74,Columbia,2016,Advanced,35.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,4,63,Columbia,2016,Advanced,12.7
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,5,68,Columbia,2016,Advanced,10.3
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Math,School Total,205,Columbia,2016,Advanced,20
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Science,4,63,Columbia,2016,Advanced,38.1
000001604,BERWICK AREA SD,ORANGE STREET EL SCH,Science,School Total,63,Columbia,2016,Advanced,38.1
000001597,BERWICK AREA SD,SALEM EL SCH,English,3,70,Columbia,2016,Advanced,11.4
000001597,BERWICK AREA SD,SALEM EL SCH,English,4,74,Columbia,2016,Advanced,20.3
000001597,BERWICK AREA SD,SALEM EL SCH,English,5,76,Columbia,2016,Advanced,18.4
000001597,BERWICK AREA SD,SALEM EL SCH,English,School Total,220,Columbia,2016,Advanced,16.8
000001597,BERWICK AREA SD,SALEM EL SCH,Math,3,70,Columbia,2016,Advanced,37.1
000001597,BERWICK AREA SD,SALEM EL SCH,Math,4,74,Columbia,2016,Advanced,35.1
000001597,BERWICK AREA SD,SALEM EL SCH,Math,5,76,Columbia,2016,Advanced,43.4
000001597,BERWICK AREA SD,SALEM EL SCH,Math,School Total,220,Columbia,2016,Advanced,38.6
000001597,BERWICK AREA SD,SALEM EL SCH,Science,4,74,Columbia,2016,Advanced,45.9
000001597,BERWICK AREA SD,SALEM EL SCH,Science,School Total,74,Columbia,2016,Advanced,45.9
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,English,3,21,Columbia,2016,Advanced,42.9
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,English,4,16,Columbia,2016,Advanced,43.8
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,English,5,20,Columbia,2016,Advanced,25
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,English,School Total,57,Columbia,2016,Advanced,36.8
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Math,3,21,Columbia,2016,Advanced,61.9
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Math,4,16,Columbia,2016,Advanced,12.5
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Math,5,20,Columbia,2016,Advanced,50
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Math,School Total,57,Columbia,2016,Advanced,43.9
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Science,4,16,Columbia,2016,Advanced,56.3
000001610,BLOOMSBURG AREA SD,BEAVER-MAIN EL SCH,Science,School Total,16,Columbia,2016,Advanced,56.3
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,English,6,133,Columbia,2016,Advanced,21.8
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,English,7,139,Columbia,2016,Advanced,17.3
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,English,8,112,Columbia,2016,Advanced,21.4
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,English,School Total,384,Columbia,2016,Advanced,20.1
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Math,6,133,Columbia,2016,Advanced,18
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Math,7,139,Columbia,2016,Advanced,7.2
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Math,8,112,Columbia,2016,Advanced,4.5
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Math,School Total,384,Columbia,2016,Advanced,10.2
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Science,8,112,Columbia,2016,Advanced,31.3
000001611,BLOOMSBURG AREA SD,BLOOMSBURG AREA MS,Science,School Total,112,Columbia,2016,Advanced,31.3
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,English,3,63,Columbia,2016,Advanced,15.9
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,English,4,67,Columbia,2016,Advanced,19.4
000001606,BLOOMSBURG AREA SD,MEMORIAL EL SCH,English,5,64,Columbia,2016,Advanced,12.5
